Artist	Song	Id	Aard_key	Aard_r	KS_key	KS_r	Trevor_key	Key
		Series([], Name: Id, dtype: object)	A- major	0.7347970971889671	C minor	0.9277172417160054	C minor	C minor
Queens Of The Stone Age	Mosquito Song	TRCTVZG128E078ED8D	F minor	0.901282292894799	F minor	0.835898939590323	F minor	F minor
Dinu Lipatti	Piano Sonata No.3 in B minor Op.58 (2005 Digital Remaster): Largo	TRDPYFO128F425581C	E major	0.8100019486663043	E major	0.8151042795773653	B major	E major
DMX	We Don't Give A Fuck	TRDQLMZ128E0786081	B minor	0.6001415798344621	B minor	0.6178390269396482	E major	B minor
Simon Harris	Sample Track 19	TRDWCTE128F932F76E	F major	0.9506379250862347	F major	0.9593014445017082	F major	F major
Kelly Marie	The Rose	TRDXSQX128F930BCB9	C major	0.9545641171200079	C major	0.9638872398819127	G major	C major
Soft Cell	Tainted Love	TRECMPD128F932D8DE	E- major	0.7430252607364266	G minor	0.8855579233789584	G minor	G minor
Mousse T. vs. Hot'N'Juicy	Horny	TREFEBZ128F425441E	B minor	0.8499078723991257	B minor	0.9325914168846366	B minor	B minor
Kuhn_ Dieter Thomas	Es Hängt Ein Pferdehalfter An Der Wand	TREFTJE128F4234C17	D major	0.9188930851653004	D major	0.9310421365298863	A major	D major
White Lion	Til Death Do Us Part (LP Version)	TREGGML12903CC0740	D minor	0.8663130477463443	F major	0.8563574378155857	B- major	B- major
John Fogerty	Hey Tonight	TREGHNL128F9311476	E major	0.83395682322606	E major	0.9712980930704522	E major	E major
Backstreet Boys	I Want It That Way	TRELOER128F429E959	F# minor	0.9092630083548732	F# minor	0.8255545055440574	E major	F# minor
Nick Ingman;Gavyn Wright	In Viola's Room	TRELZIF128F4266171	E minor	0.8100327365513171	E minor	0.9195341922871682	E minor	E minor
Billy J Kramer	You Can't Live On Memories (Stereo) (2009 Digital Remaster)	TRENFDW128F9339A6A	D major	0.9055768259704134	D major	0.9799628827953225	E minor	D major
Visage	In The Year 2525	TRENJBF128F14770C9	C major	0.8777408564951321	E minor	0.898776896362188	C major	C major
Ugly Kid Joe	Cats In The Cradle	TRESNUQ128F42ACF91	E- minor	0.7548525731098311	E- minor	0.801305683989896	D- major	E- minor
Bonnie McKee	Somebody (Original Album Version)	TREVDFX128E07859E0	C major	0.9140575945885642	C major	0.9542474567657127	G major	C major
Radiohead	Just	TREXJJE128E0781B1D	F major	0.7246359462459663	F major	0.676070001459528	B- major	F major
Bong-ra	Blood and Fire (DJ Scud RMX)	TREZWGJ128F4295646	C major	0.7309945745290543	C major	0.9026780413168214	C major	C major
End Of Fashion	Rough Diamonds (Extended Mix)	TRFLBTX128F4257817	G major	0.8355379412261354	D major	0.8479245371308282	D major	D major
Clint Black	Someday	TRFNNSW12903CDCD85	C major	0.8498374104960036	C major	0.8275318181377924	G major	C major
Klubbingman feat. Beatrix Delgado	Another Day Another Night	TRFQPWB128F9316B26	B major	0.893366037916474	B major	0.9763812145451578	B major	B major
Ugly Kid Joe	Cats In The Cradle	TRFSFEB12903CA144F	E- minor	0.7548525731098311	E- minor	0.801305683989896	D- major	E- minor
Jose Cid	Um Grande_ Grande Amor	TRFUBNF128F4294644	A major	0.8090830535006097	A major	0.8185790527740103	A major	A major
Alien Ant Farm	Smooth Criminal	TRFUVKB12903CB0FE3	F major	0.7948259863993626	A minor	0.8549663934262866	A minor	A minor
Ukulele	Soldier Of Fortune	TRFZNJO128F42759D9	G minor	0.8975836427239711	G minor	0.9349549528150617	B- major	G minor
Erlend Øye	Sheltered Life (Erlend Øye's Karl Marx Allee Remix)	TRGBFTF128F1475953	B- minor	0.9202829280526348	B- minor	0.8625064976512179	B- minor	B- minor
The Warren Brothers	Surviving Emily	TRGJJKW128F9315105	A major	0.872479266899008	A major	0.988123896937284	E major	A major
The Kingsmen	Mustang Sally	TRGJLUI128F4256531	C minor	0.690372190911868	C major	0.7470172410630066	C minor	C minor
Céline Dion	Destin	TRGPBEX128F426EA3E	G major	0.9149703256829671	G major	0.9095121369096476	G major	G major
The Planets	Tanta Voglia Di Lei	TRGTOTX128F4271E2D	D major	0.8813542866888998	D major	0.8944346341429416	F# minor	D major
Billy Joe Royal	The Truth Is I Lied (LP Version)	TRGVSDT12903CC496B	G major	0.9204850670106095	G major	0.8449195636820742	D major	G major
Soul Groove	What Becomes Of The Brokenhearted - (Tribute to Jimmy Ruffin)	TRGXZBH12903CBCDD6	B- major	0.7806227926431798	D minor	0.8040058326045112	F major	F major
Speedy J	Klave	TRGYBOF128F9310DCA	F# minor	0.7738593435625655	C# minor	0.94467712554785	E major	E major
Pablo Casals	Air (from Suite No. 3 in D major BWV1068)	TRHDLNP128F9342DCC	D major	0.9329665421592559	A major	0.8438421097246749	F# minor	F# minor
Costa Cordalis	Pan	TRHDTSM128F92E9645	F minor	0.8957091786991633	F minor	0.9446480365901659	F minor	F minor
Johnny Nash	I Can See Clearly Now	TRHEOII12903CB23D6	G major	0.8064444440638846	D major	0.914260634903745	D major	D major
Kenny Rogers And Dottie West	All I Ever Need Is You	TRHHKMC128F931E0AB	A major	0.8936106083038117	A major	0.9383502265495818	A major	A major
Barry Adamson	A Settlin' Kinda Scam	TRHJVLH12903D04F44	A minor	0.7895752504894532	E minor	0.7415162400764965	C major	C major
YUNDI	Nocturnes: C minor (1837_ pub 1938)	TRHKOPI12903CEC34A	C minor	0.8435339619801902	C minor	0.8769012053804094	G minor	C minor
Alain Bashung	Bijou Bijou	TRHOIJR128F93370DA	E major	0.8674667436975494	E major	0.9333887491104013	B minor	E major
Weird Al Yankovic	"Phony Calls (Parody of ""Waterfalls"" by TLC)"	TRHRCXK128F4263C4C	A- major	0.8645142075369968	E- major	0.8379840825218005	B- minor	B- minor
Janet Jackson	Again (Piano/Vocal)	TRIDAFI128F4255BD9	C major	0.8826417150143128	C major	0.9552251140361733	E minor	C major
Kenny Loggins	Footloose	TRIFIEQ128F92FCD06	D major	0.866643631698377	A major	0.8807438000008513	A major	A major
Whitney Houston & Deborah Cox	Same Script_ Different Cast	TRIGHLA128F42B82E1	B major	0.8774878784707035	B major	0.9396333199062883	F# minor	B major
The Waterboys	A Song For The Life (2008 Digital Remaster)	TRIHBRI128F4275915	C# minor	0.786968677405223	E major	0.8988124943497852	E major	E major
Los Humildes	Tanto Amor	TRIHFTE128F930944E	E major	0.8634297345260098	E major	0.9411149477144031	E major	E major
Sky Motion	All The Time	TRIIEXX128F9323D97	F# minor	0.8683387653001787	F# minor	0.8888702293532494	E major	F# minor
Jovanotti	Per Te	TRINBRW128F1490EF8	C major	0.8946398354731439	C major	0.927707742050537	E minor	C major
Third World	Dancing On The Floor (Hooked On Love)	TRIQPCQ128F1493349	C major	0.8191474412945832	E minor	0.84510802002074	E minor	E minor
Blank & Jones	The Night Starts Here - with Stars	TRIRUYJ12903CA7AD6	C# major	0.8369622559001165	F minor	0.8760683910298687	F minor	F minor
Culture Club	Do You Really Want To Hurt Me (BBC In Concert)	TRISOVE12903CB8135	G major	0.8336122883458681	G major	0.8653334823371933	G major	G major
Fire Ball	I Love You	TRITMXS128F4269AA3	B- major	0.923101389629445	B- major	0.9209570216755296	B- major	B- major
Victor Ark	Coming Back	TRIWNGP128F92D11C1	E- major	0.9008913301080198	E- major	0.8747645568171609	F minor	E- major
Carpenters	For All We Know	TRIZWLK128E0793C91	G major	0.8444210270982098	G major	0.9207092511876543	G major	G major
Robbie Williams	I Wouldn't Normally Do This Kind Of Thing	TRJDWDW128E0798A80	G major	0.7801813588028785	D major	0.933804457965513	D major	D major
Georges Bizet	Carmen Suite: Intermezzo	TRJECSC128F4225AD5	E- major	0.8903412831981925	E- major	0.9658958487640956	B- major	E- major
Clay Walker	Woman Thing (Album Version)	TRJLALT128F427D533	G major	0.8620363183933107	G major	0.8684345139901581	D major	G major
Faithless	Thank You	TRJLPOH128F425A072	A minor	0.7710438342969337	A minor	0.8699508528729605	E minor	A minor
Kidz Bop Kids	Here Without You	TRJQVPN128F932BE9C	C# major	0.8995118291543148	C# major	0.8697317702183336	B- minor	C# major
The Campaign for Real-Time	Instant Karma!	TRKFZSF12903CBB709	D major	0.9142271124413377	D major	0.790638473207597	E minor	D major
Elton John	Song For Guy	TRKIZWL128EF342C5A	F major	0.852786984506904	F major	0.8388406268484577	C major	F major
Atomic Kitten	Love Doesn't Have To Hurt	TRKJAIH128E0789755	D major	0.9051958198707617	D major	0.9425311986220192	D major	D major
John Holm	Blå Väg	TRKNHQW12903CBE144	F major	0.8996387201322797	F major	0.8577569952375996	D minor	F major
Mambo Chillum	Intro	TRLFCUS128F933B4A9	D minor	0.8101423397078468	D minor	0.9413851764122565	D minor	D minor
Gregor Samsa	These Points Balance	TRLFTTG128F93083FD	E minor	0.763276957692466	E major	0.7760540100056504	G major	G major
Evangelicals	Another Day (And Yoor Still Knocked Out)	TRLJHSK12903CB25EA	G major	0.8494378862535571	D major	0.9172276950015522	D major	D major
Panpipes	Nothing Compares 2U	TRLLWIN128F92CB71D	F major	0.8547213216294971	C major	0.9005007336212257	F major	F major
Relax	Nie im Leb'n	TRMAAFD128F42B4CE3	E minor	0.8575720589255544	E minor	0.8266876476837637	G major	E minor
The Presidents of the United States of America	Lump	TRMJSWT12903CA8AE1	F# minor	0.747691039163283	F# major	0.709422971481848	F# minor	F# minor
David Johansen	Justine	TRMNBWE128F9323713	C major	0.8797223660261099	G major	0.838205314844243	D minor	D minor
Michael Bublé	Haven't Met You Yet (Album Version)	TRMRHAD12903CC0130	A- major	0.8477335418457006	E- major	0.783074270144112	F minor	F minor
Solomon Burke	I Got The Blues	TRMTRWB128F42A0436	G major	0.8988117092874635	G major	0.9422306319040096	G major	G major
Hawaii Samurai	Buffy the Vampire Slayer	TRNFLFG128F9365A31	E minor	0.7248089673730493	B minor	0.7032231941850958	E minor	E minor
Mary Wells	The Boy From Ipanema (Album Version)	TRNGIOQ128E0791411	C major	0.7376308831826869	C major	0.6979405844686035	G major	C major
Joe Satriani	Cryin'	TRNTLWX128F426AD0C	A major	0.8339322332621685	E major	0.9386922526703262	E major	E major
The B-Sides	Ask Me Why (As made famous by The Beatles)	TRNVNJD12903CE58BB	E major	0.9111020847642066	E major	0.928000738701949	E major	E major
By The Tree	I Will Follow You (LP Version)	TROBNQM128F1484296	C major	0.8857670512429338	C major	0.908861131814293	G minor	C major
Dougal / Gammer	Boing!	TROELXZ12903CC6A6B	C major	0.7451854529137042	G major	0.9287737073829999	G major	G major
Los Inhumanos	Que Difícil Es Hacer El Amor En Un Simca 1000	TROEPWS128F429A772	C major	0.8761451981461222	C major	0.9689018592372939	C major	C major
Los Del Rio	Macarena	TRONKXP128F428CAF6	C# major	0.6513481363140265	G# minor	0.7642017861403281	G# minor	G# minor
Artist	Song	Id	Aard_key	Aard_r	KS_key	KS_r	Trevor_key	Trevor_key
Quazar	Exactly It (Album Version)	TROTHZW128F4290319	E- minor	0.5835372280757822	B- minor	0.5582940739481471	B- minor	B- minor
Stone Temple Pilots	Plush (LP Version)	TROUHQM128F92C5777	G minor	0.8043835446430684	G minor	0.8079316647014567	G minor	G minor
Mr. Pit	Beng Beng	TRPAJAZ12903D08BE6	E minor	0.872886312406975	A major	0.7680823461023718	D major	D major
The Blues Brothers	Soul Man (Live Version)	TRPFEPI128F147C7DA	A minor	0.6194756153151125	E major	0.6225053370588456	A minor	A minor
A Fuego	Cancion azul/te quiero de veras	TRPHKLN12903CE7682	A major	0.8875597031216497	A major	0.8152007737397193	C# minor	A major
Marc Anthony	My Baby You	TRPICIB128F4267519	C minor	0.8054897391363885	C minor	0.8609538962607683	E- major	C minor
Nancy Sinatra	Something	TRPIGJX128F427D3DC	A minor	0.8378568232752498	A minor	0.8455858423521666	C major	A minor
Joy Lynn White	True Confessions	TRPTSIN128F4262FAB	A major	0.9605962424178403	A major	0.9471967708139799	D major	A major
Rush	Working Man	TRPZMHF128F145FAF8	A minor	0.8498518861200148	E minor	0.7503370214172459	E minor	E minor
Suzy Bogguss	Someday Soon	TRQCVTS128F1462FDD	G major	0.9109157148059719	G major	0.9233792890446127	G major	G major
Passion Pit	Sleepyhead	TRQDNCX128F9314FD0	A- major	0.9152250857045121	A- major	0.848225887209838	A- major	A- major
Will Young	All The Things You Are	TRQJYKE128F42ADAEB	C minor	0.7478195026772271	C minor	0.8450112473005983	A- major	C minor
Sam and Dave	Hold On I'm Coming	TRQLPZB128F92FE965	G# minor	0.7582260942029105	G# minor	0.8135390474214051	G# minor	G# minor
Fergie / Will.I.Am	True	TRQMGQY128EF3406A7	G major	0.8622068847475992	G major	0.9571524392659174	D minor	G major
Electric Light Orchestra	Rock 'N' Roll Is King	TRQMSCD128F426A3F5	A major	0.882173233727296	A major	0.9744057361540941	A major	A major
Neil Diamond	River Deep_ Mountain High	TRQQNIF128F42648AC	E- major	0.7263396922285493	B- major	0.7976479446523833	F minor	F minor
Guns N' Roses	Knockin' On Heaven's Door	TRQQXZB128E079247D	B major	0.8354776396190463	F# major	0.933570037125027	C# major	C# major
Barry White	Can't Get Enough of Your Love Baby	TRQRKGX12903CD4636	F major	0.944693890121325	F major	0.858667788229671	F major	F major
Fonzerelli	I Love Music (Piano Club Dub)	TRQRTXN128EF356AE3	B minor	0.828077138037055	B minor	0.775761626468496	B minor	B minor
Johnny Bristol & Liz Lands	Hang On In There Baby	TRQYQBN12903CE9804	D major	0.8873823710190104	D major	0.9129927896335823	E minor	D major
The Clovers	Love Potion No. 9	TRRDVZY128F92F133E	A minor	0.798210954633287	A minor	0.8463882911906998	E minor	A minor
James Last	All By Myself	TRRIIEN128F92E0443	F major	0.8688108477587612	F major	0.842419866401308	A minor	F major
Marilyn Horne / The New Symphony Orchestra Of London / Richard Bonynge	Hence_ Iris_ hence away	TRRNARX128F4264AEB	F minor	0.9503511556701492	C minor	0.7968594777361222	F minor	F minor
Simply The Best Sax: The Hits Of Tina Turner	Missing You	TRRTWWZ128F4274252	A major	0.82936115135445	A major	0.9767583230087309	A major	A major
Birdy Nam Nam	Trans Boulogne Express (The Driver & Lunatic Asylum Remix)	TRRVHXK128F93009E4	B- major	0.6627489057653931	F major	0.8362004829121792	F major	F major
Thelma Houston	Don't Leave Me This Way	TRRXXYN128F9317B93	C minor	0.753621729299583	C major	0.7893229068577612	B- major	B- major
Hollywood Studio Orchestra	Pie Jesu - Original	TRRYJPZ128F930C2BE	G major	0.7142303990951304	G major	0.7948130424535994	G major	G major
Todd Terry All Stars feat. Kenny Dope_ DJ Sneak_ Terry Hunter & Tara Mcdonald	Get Down (Kenny Dope Original)	TRSAMWU128F42636B8	A- major	0.8044807714182224	C minor	0.9006023931823385	E- major	E- major
Miam Monster Miam	Sixteen Days Without You	TRSBXPS128F424BE10	C major	0.8851674031552035	G major	0.8600731205259463	G major	G major
Daniel Lemma	Matilda's door	TRSFIPU128F14539E1	F major	0.8978458991353149	F major	0.9258606556743657	D minor	F major
Boyz II Men	It's The Same Old Song/Reach Out I'll Be There	TRSFNHG128F427DF40	C major	0.8938511120455772	C major	0.7975031739424049	C major	C major
Eric Clapton	All Our Past Times	TRSIEVY128E0792E11	G major	0.886308159720045	G major	0.9641076525957912	E minor	G major
Vonda Shepard	It's In His Kiss (The Shoop Shoop Song)	TRSJJNJ12903CF5452	G major	0.8487969540512518	G major	0.8705037391512163	G major	G major
New Order	Turn	TRSLJYZ128F426F5E1	F# major	0.8480904897910049	F# major	0.8422175039134885	G# minor	F# major
Los Nikis	Amante Bandido	TRSNCXP128F1470E53	A major	0.8128156174279683	E major	0.9572239609027758	E major	E major
Brotherhood Of Man	Save Your Kisses For Me - Re-Recording	TRSPCUZ128F92E8CD5	G major	0.850046210189422	G major	0.9632215548761546	G major	G major
Mr. President	I Wanna Give My Love To You	TRSQRJH128F426C76D	C major	0.8369378789971061	C major	0.8606748498552174	G minor	C major
Bjørn Aslaksen	Som Vannet Bryter Gjennom	TRSTCNN12903CA654B	E major	0.9329245314507352	E major	0.9230916087512699	E major	E major
The Association	Cherish (Album Version)	TRSVDCG128F147B7FE	F major	0.8914504615648996	C major	0.7954830262548481	E minor	E minor
Original London Cast	Wishing You Were Somehow Here Again	TRTCZST128E079316D	G minor	0.8492898158826718	D minor	0.7308149814322865	G minor	G minor
The Blues Brothers	Gimme Some Lovin' (LP Version)	TRTFVFH12903CC1151	A major	0.7255117433775663	E major	0.8472109105689132	E major	E major
Kellie Coffey	When You Lie Next To Me	TRTGSAR128F42A53DA	F major	0.900333800815453	F major	0.8635286298010852	F major	F major
Blonker	Crying In The Rain	TRTGVNS128F4291358	D major	0.8919945039069713	D major	0.935746925318142	D major	D major
Kerri Chandler	I Think Of You (Reprise)	TRTKKWM12903CC3D6D	G minor	0.9184498290742905	G minor	0.7745155008232963	D minor	G minor
Kaskade	In This Life (Mario Fabriani Remix)	TRTMWKQ128F14A2B68	B major	0.8774878784707035	B major	0.9396333199062883	F# minor	B major
Shinehead	More Than A Feeling	TRTVBCS128F92FC322	G major	0.8880451420045262	G major	0.9217436732267081	D major	G major
Audio Bullys	Flickery Vision	TRTVBQU128F92CA7D5	D minor	0.9323925773057412	D minor	0.8451743651871474	A minor	D minor
Heart	Crazy On You	TRTVDWN128F42678A4	A minor	0.9563817959710121	A minor	0.8791156685720539	E minor	A minor
Climax	Precious And Few	TRUEVYJ12903CBE01C	A major	0.8005203840092081	A major	0.8906035833462921	F# minor	A major
JJ Appleton	Picture This	TRUFVWQ128F1484D90	B- minor	0.9202829280526348	B- minor	0.8625064976512179	B- minor	B- minor
Tears For Fears	Closest Thing To Heaven (Solasso Dub)	TRUGTVW128F92E83BC	E minor	0.8837764909797697	E minor	0.8307470766537431	E minor	E minor
America	Sister Golden Hair	TRUKHNV128F149ED32	E major	0.9280300831776709	E major	0.9485443765438426	E major	E major
Hi-Tack	Say Say Say (Waiting 4 U) (Original Mix)	TRUMCXJ128F428C9F1	B minor	0.8848516998805454	B minor	0.8973335920096747	B minor	B minor
David Arkenstone	Born Free	TRUQDRV128F4280A25	C major	0.8900603340141526	C major	0.9686307321102572	G major	C major
Tavares	Don't Take Away The Music	TRUUMHO128F1459434	E- major	0.8384531678970306	E- major	0.933982362046837	B major	E- major
Spice Girls	Wannabe (Instrumental)	TRUZHFD128F429C33B	B major	0.8126839430597569	B major	0.8516264576922842	A major	B major
Mijares	Uno Entre Mil	TRVANTV128F4264525	D major	0.8967130475760854	D major	0.9526758492232825	F# minor	D major
Purple Schulz	Nur Mit Dir	TRVBBAX128F92F91B0	A major	0.8224186070663482	A major	0.9636312179817523	E major	A major
Sting	Moon Over Bourbon Street	TRVCLEX128E0784820	F minor	0.939594801827396	F minor	0.9107976899996559	F minor	F minor
Studio Apartment	Hope [Extended Version]	TRVEARP128F42829B3	F# minor	0.8600797083922809	F# minor	0.7736374961300087	E major	F# minor
Chris Fortier	Baby Wait	TRVIDUX12903CE4E11	C major	0.8311380822022865	C major	0.8896322941405465	C major	C major
Iris Dement	Our Town (Album Version)	TRVJWTP12903CC4535	B major	0.8799378595620603	B major	0.9670133785035461	B major	B major
London Stars Orchestra and Singers	I Do I Do I Do I Do	TRVLECC12903D0D4E9	C major	0.8700939070386737	C major	0.8322397819456244	E minor	C major
Spider Murphy Gang	Ich Grüsse Alle Und Den Rest Der Welt (2007 Digital Remaster)	TRVTYHT128F4236491	A major	0.942995140908537	A major	0.9713144212634653	E major	A major
Abba	When All Is Said And Done	TRVWFDM128F92EFEEA	D major	0.8863223815058163	D major	0.9795381459449101	A major	D major
Caterina Valente	Ganz Paris träumt von der Liebe	TRVZCSD128F92F6AD5	A major	0.8805265909479961	A major	0.9435198207284617	A major	A major
Phoebus Feat Despina Vandi	Come Along vs  GIA (Radio Edit) - Despina Vandi	TRWBTPB128EF34A8A1	A- major	0.7347970971889671	C minor	0.9277172417160054	C minor	C minor
Filewile	Barbarella	TRWFAIW128F4269A6F	C major	0.7309945745290543	C major	0.9026780413168214	C major	C major
Billy Dean	She's Taken	TRWJIBT128F425F109	B- major	0.8652106274578657	B- major	0.9727349788446457	B- major	B- major
Irwin Goodman	Sinua rakastan	TRWMHMP128EF34293F	E- major	0.8141159572419666	E- major	0.8354710511623109	B- major	E- major
Louis Bertignac	(Sittin'On) The Dock Of The Bay	TRWOLRE128F427D710	G major	0.8272958327390104	G major	0.8557530625640855	D major	G major
Christina Aguilera	Genie In A Bottle	TRWQAFX128F428DBB0	F minor	0.8903910873880082	F minor	0.897047342097161	F minor	F minor
Kenny Rogers & Kim Carnes	Don't Fall In Love With A Dreamer	TRWWEJR128F14603F2	A major	0.8792597366275301	A major	0.9597103822839436	A major	A major
BarlowGirl	Surrender (Album Version)	TRWYOVL128F424305A	C major	0.8627987147611522	C major	0.9065547788565542	E minor	C major
Boyzone	When The Going Gets Tough	TRXCWZL128E0793240	A major	0.9170807658491792	A major	0.9746692033035697	F# minor	A major
Ideal	Blaue Augen	TRXFWFZ128E0786E5A	A- major	0.9257590308674472	E- major	0.8683546747349854	E- major	E- major
Katherine Jenkins	Panis Angelicus	TRXPPVX128F92D1403	G major	0.9362046661419063	G major	0.924241691583375	G major	G major
The K Program	Electricity	TRXRKNG128F9301B2C	C major	0.8748782773759017	C major	0.9699397059717786	C major	C major
Pink Floyd	Brain Damage (2003 Digital Remaster)	TRXUNHW128F4295E0B	G major	0.8281236252746939	D major	0.9482690215228685	D major	D major
Jack Nitzsche	Funeral March	TRXVFTR128F931DED3	B- minor	0.8495081600867983	B- minor	0.9590279906625895	B- minor	B- minor
George Michael	Fastlove (Edit)	TRXWDFM12903CA4461	B- minor	0.9241699416504261	B- minor	0.8445672550265422	B- minor	B- minor
Maroon 5	She Will Be Loved	TRXZXTP12903CB667B	E- major	0.9023385808526048	E- major	0.8731316100690347	C minor	E- major
Jonathan Edwards	Girl From The Canyon	TRYAKSA128F932BDCA	C major	0.9438796470659979	C major	0.8675312590794876	C major	C major
B.J. THOMAS	What A Friend We Have In Jesus (Album)	TRYDLPB12903CB0328	F major	0.9283507553465465	F major	0.9298580753641753	C major	F major
Bad English	Time Stood Still	TRYDPLX128F42626BC	G major	0.874554437687986	G major	0.8431857537443941	G major	G major
Ultrabeat	The Truth Is Out There	TRYEKGR128F429C2C2	F minor	0.9333388586930059	F minor	0.7816506716434262	C minor	F minor
Sonny & Cher	Unchained Melody (LP Version)	TRYLHSD128F147C5EB	C minor	0.8637000420111163	C minor	0.8398084962674431	G minor	C minor
Setrise	Sunny Canon 2009	TRYLREF12903CC8FFC	D major	0.924322551520794	D major	0.9622079453786481	D major	D major
Edwin Starr	Just Another Fool In Love	TRYRFTE128F92E06E0	G minor	0.8155378213260523	C major	0.7334140200479609	G minor	G minor
Hipsway	Keepin' It Together	TRYUJNI128F4263C6B	B minor	0.831925573624342	B minor	0.9390541808793285	F# minor	B minor
The Jimi Hendrix Experience	Hey Joe	TRZGQRG12903CD524E	A minor	0.7398216846579471	E minor	0.7843102024649983	E minor	E minor
Toy-Box	Tarzan & Jane	TRZNFTA128F92DD8AD	C# major	0.8935963417112465	C# major	0.8327042014727919	F minor	C# major
Music Makers	El Juego De Simón	TRZNHKM128F4226D88	A major	0.899809370182498	E major	0.9311705473782416	C# minor	C# minor
The Streets	The Hardest Way To Make An Easy Living	TRZONIL128F146E0DF	D minor	0.8401308207740984	D minor	0.9545849559431834	D minor	D minor
Gerry & The Pacemakers	I Like It	TRZPVUW128E0788A3E	G major	0.9070404371765208	G major	0.983210691961249	E minor	G major
Murray Perahia	Nocturne No. 1 in F Major_ Op.15: Andante cantabile - Con fuoco - Tempo I	TRZQCOX128F4273BB1	F major	0.6810802440257717	F major	0.8442259602857597	C minor	F major
The Marcels	Blue Moon	TRZSBTE12903CD7F93	G major	0.9191812370289851	G major	0.929067438975372	D major	G major
Artesia	Une nuit en Hilvern	TRZSYMA12903CB261F	F major	0.657427465397114	F major	0.7219206402825187	C major	F major
Twila Paris	Make Us One (Key-Eb-F-Premiere Performance Plus)	TRZVDJK128F932562D	F major	0.8783808315015742	F major	0.9658330131579312	F major	F major
Sugar Ray	When It's Over (Remastered Album Version)	TRDAWVS128F4236D29	E major	0.9328564405841596	E major	0.9029556094671753	E major	E major
Artist	Song	Id	Aard_key	Aard_r	KS_key	KS_r	Trevor_key	Trevor_key
Guy Lombardo	Auld Lang Syne	TRDAXSE128F92EB47F	F major	0.9055604964165961	F major	0.978408134135356	C major	F major
Chris Botti	Love Gets Old	TRDBBMB128F427C53B	C minor	0.8496883076361224	C minor	0.9132657135109228	C minor	C minor
Hole	Malibu	TRDBEUF128F42AD7D0	D major	0.9241436201382794	D major	0.9159171645085351	E minor	D major
Matthew West	Save A Place For Me (Medium Key-Premiere Performance Plus w/ Background Vocals)	TRDBEWS12903CC68E1	G major	0.8495549226886302	G major	0.9666212463154518	E minor	G major
Soundgarden	I Awake	TRDBFIY128E07937A6	B- major	0.6259096667793976	D minor	0.7780935113333133	D minor	D minor
Cher	Alive Again	TRDBHBV12903CCFBC5	B- major	0.860181522831898	F major	0.927716890967477	F major	F major
Sy & Unknown feat. Lou Lou	Don't Leave Me Now (Darren Styles Remix)	TRDBIEX128F4285129	C minor	0.7997950281622325	C minor	0.9501973122944172	C minor	C minor
XL5	Rikottu	TRDBJJE128F933A935	C major	0.845929420138327	C major	0.9285630077897369	G minor	C major
