Artist	Song	Id	Key
Los Inhumanos	Que Difícil Es Hacer El Amor En Un Simca 1000	TROEPWS128F429A772	C_major
Los Del Rio	Macarena	TRONKXP128F428CAF6	G#_minor
Quazar	Exactly It (Album Version)	TROTHZW128F4290319	Bb_minor
Stone Temple Pilots	Plush (LP Version)	TROUHQM128F92C5777	G_minor
Mr. Pit	Beng Beng	TRPAJAZ12903D08BE6	D_major
The Blues Brothers	Soul Man (Live Version)	TRPFEPI128F147C7DA	A_minor
A Fuego	Cancion azul/te quiero de veras	TRPHKLN12903CE7682	C#_minor
Marc Anthony	My Baby You	TRPICIB128F4267519	Eb_major
Nancy Sinatra	Something	TRPIGJX128F427D3DC	C_major
Joy Lynn White	True Confessions	TRPTSIN128F4262FAB	D_major
Rush	Working Man	TRPZMHF128F145FAF8	E_minor
Suzy Bogguss	Someday Soon	TRQCVTS128F1462FDD	G_major
Passion Pit	Sleepyhead	TRQDNCX128F9314FD0	Ab_major
Will Young	All The Things You Are	TRQJYKE128F42ADAEB	Ab_major
Sam and Dave	Hold On I'm Coming	TRQLPZB128F92FE965	G#_minor
Fergie / Will.I.Am	True	TRQMGQY128EF3406A7	D_minor
Electric Light Orchestra	Rock 'N' Roll Is King	TRQMSCD128F426A3F5	A_major
Neil Diamond	River Deep_ Mountain High	TRQQNIF128F42648AC	F_minor
Guns N' Roses	Knockin' On Heaven's Door	TRQQXZB128E079247D	C#_major
Barry White	Can't Get Enough of Your Love Baby	TRQRKGX12903CD4636	F_major
Fonzerelli	I Love Music (Piano Club Dub)	TRQRTXN128EF356AE3	B_minor
Johnny Bristol & Liz Lands	Hang On In There Baby	TRQYQBN12903CE9804	E_minor
The Clovers	Love Potion No. 9	TRRDVZY128F92F133E	E_minor
James Last	All By Myself	TRRIIEN128F92E0443	A_minor
Marilyn Horne / The New Symphony Orchestra Of London / Richard Bonynge	Hence_ Iris_ hence away	TRRNARX128F4264AEB	F_minor
Simply The Best Sax: The Hits Of Tina Turner	Missing You	TRRTWWZ128F4274252	A_major
Birdy Nam Nam	Trans Boulogne Express (The Driver & Lunatic Asylum Remix)	TRRVHXK128F93009E4	F_major
Thelma Houston	Don't Leave Me This Way	TRRXXYN128F9317B93	Bb_major
Hollywood Studio Orchestra	Pie Jesu - Original	TRRYJPZ128F930C2BE	G_major
Todd Terry All Stars feat. Kenny Dope_ DJ Sneak_ Terry Hunter & Tara Mcdonald	Get Down (Kenny Dope Original)	TRSAMWU128F42636B8	Eb_major
Miam Monster Miam	Sixteen Days Without You	TRSBXPS128F424BE10	G_major
Daniel Lemma	Matilda's door	TRSFIPU128F14539E1	D_minor
Boyz II Men	It's The Same Old Song/Reach Out I'll Be There	TRSFNHG128F427DF40	C_major
Eric Clapton	All Our Past Times	TRSIEVY128E0792E11	E_minor
Vonda Shepard	It's In His Kiss (The Shoop Shoop Song)	TRSJJNJ12903CF5452	G_major
New Order	Turn	TRSLJYZ128F426F5E1	G#_minor
Los Nikis	Amante Bandido	TRSNCXP128F1470E53	E_major
Brotherhood Of Man	Save Your Kisses For Me - Re-Recording	TRSPCUZ128F92E8CD5	G_major
Mr. President	I Wanna Give My Love To You	TRSQRJH128F426C76D	G_minor
Bjørn Aslaksen	Som Vannet Bryter Gjennom	TRSTCNN12903CA654B	E_major
The Association	Cherish (Album Version)	TRSVDCG128F147B7FE	E_minor
Original London Cast	Wishing You Were Somehow Here Again	TRTCZST128E079316D	G_minor
The Blues Brothers	Gimme Some Lovin' (LP Version)	TRTFVFH12903CC1151	E_major
Kellie Coffey	When You Lie Next To Me	TRTGSAR128F42A53DA	F_major
Blonker	Crying In The Rain	TRTGVNS128F4291358	D_major
Kerri Chandler	I Think Of You (Reprise)	TRTKKWM12903CC3D6D	D_minor
Kaskade	In This Life (Mario Fabriani Remix)	TRTMWKQ128F14A2B68	F#_minor
Shinehead	More Than A Feeling	TRTVBCS128F92FC322	D_major
Audio Bullys	Flickery Vision	TRTVBQU128F92CA7D5	A_minor
Heart	Crazy On You	TRTVDWN128F42678A4	E_minor
Climax	Precious And Few	TRUEVYJ12903CBE01C	F#_minor
JJ Appleton	Picture This	TRUFVWQ128F1484D90	Bb_minor
Tears For Fears	Closest Thing To Heaven (Solasso Dub)	TRUGTVW128F92E83BC	E_minor
America	Sister Golden Hair	TRUKHNV128F149ED32	E_major
Hi-Tack	Say Say Say (Waiting 4 U) (Original Mix)	TRUMCXJ128F428C9F1	B_minor
David Arkenstone	Born Free	TRUQDRV128F4280A25	G_major
Tavares	Don't Take Away The Music	TRUUMHO128F1459434	B_major
Spice Girls	Wannabe (Instrumental)	TRUZHFD128F429C33B	A_major
Mijares	Uno Entre Mil	TRVANTV128F4264525	F#_minor
Purple Schulz	Nur Mit Dir	TRVBBAX128F92F91B0	E_major
Sting	Moon Over Bourbon Street	TRVCLEX128E0784820	F_minor
Studio Apartment	Hope [Extended Version]	TRVEARP128F42829B3	E_major
Chris Fortier	Baby Wait	TRVIDUX12903CE4E11	C_major
Iris Dement	Our Town (Album Version)	TRVJWTP12903CC4535	B_major
London Stars Orchestra and Singers	I Do I Do I Do I Do	TRVLECC12903D0D4E9	E_minor
Spider Murphy Gang	Ich Grüsse Alle Und Den Rest Der Welt (2007 Digital Remaster)	TRVTYHT128F4236491	E_major
Abba	When All Is Said And Done	TRVWFDM128F92EFEEA	A_major
Caterina Valente	Ganz Paris träumt von der Liebe	TRVZCSD128F92F6AD5	A_major
Phoebus Feat Despina Vandi	Come Along vs  GIA (Radio Edit) - Despina Vandi	TRWBTPB128EF34A8A1	C_minor
Filewile	Barbarella	TRWFAIW128F4269A6F	C_major
Billy Dean	She's Taken	TRWJIBT128F425F109	Bb_major
Irwin Goodman	Sinua rakastan	TRWMHMP128EF34293F	Bb_major
Louis Bertignac	(Sittin'On) The Dock Of The Bay	TRWOLRE128F427D710	D_major
Christina Aguilera	Genie In A Bottle	TRWQAFX128F428DBB0	F_minor
Kenny Rogers & Kim Carnes	Don't Fall In Love With A Dreamer	TRWWEJR128F14603F2	A_major
BarlowGirl	Surrender (Album Version)	TRWYOVL128F424305A	E_minor
Boyzone	When The Going Gets Tough	TRXCWZL128E0793240	F#_minor
Ideal	Blaue Augen	TRXFWFZ128E0786E5A	Eb_major
Katherine Jenkins	Panis Angelicus	TRXPPVX128F92D1403	G_major
The K Program	Electricity	TRXRKNG128F9301B2C	C_major
Pink Floyd	Brain Damage (2003 Digital Remaster)	TRXUNHW128F4295E0B	D_major
Jack Nitzsche	Funeral March	TRXVFTR128F931DED3	Bb_minor
George Michael	Fastlove (Edit)	TRXWDFM12903CA4461	Bb_minor
Maroon 5	She Will Be Loved	TRXZXTP12903CB667B	C_minor
Jonathan Edwards	Girl From The Canyon	TRYAKSA128F932BDCA	C_major
B.J. THOMAS	What A Friend We Have In Jesus (Album)	TRYDLPB12903CB0328	C_major
Bad English	Time Stood Still	TRYDPLX128F42626BC	G_major
Ultrabeat	The Truth Is Out There	TRYEKGR128F429C2C2	C_minor
Sonny & Cher	Unchained Melody (LP Version)	TRYLHSD128F147C5EB	G_minor
Setrise	Sunny Canon 2009	TRYLREF12903CC8FFC	D_major
Edwin Starr	Just Another Fool In Love	TRYRFTE128F92E06E0	G_minor
Hipsway	Keepin' It Together	TRYUJNI128F4263C6B	F#_minor
The Jimi Hendrix Experience	Hey Joe	TRZGQRG12903CD524E	E_minor
Toy-Box	Tarzan & Jane	TRZNFTA128F92DD8AD	F_minor
Music Makers	El Juego De Simón	TRZNHKM128F4226D88	C#_minor
The Streets	The Hardest Way To Make An Easy Living	TRZONIL128F146E0DF	D_minor
Gerry & The Pacemakers	I Like It	TRZPVUW128E0788A3E	E_minor
Murray Perahia	Nocturne No. 1 in F Major_ Op.15: Andante cantabile - Con fuoco - Tempo I	TRZQCOX128F4273BB1	C_minor
The Marcels	Blue Moon	TRZSBTE12903CD7F93	D_major
Artesia	Une nuit en Hilvern	TRZSYMA12903CB261F	C_major
Twila Paris	Make Us One (Key-Eb-F-Premiere Performance Plus)	TRZVDJK128F932562D	F_major
Sugar Ray	When It's Over (Remastered Album Version)	TRDAWVS128F4236D29	E_major
Guy Lombardo	Auld Lang Syne	TRDAXSE128F92EB47F	C_major
Chris Botti	Love Gets Old	TRDBBMB128F427C53B	C_minor
Hole	Malibu	TRDBEUF128F42AD7D0	E_minor
Matthew West	Save A Place For Me (Medium Key-Premiere Performance Plus w/ Background Vocals)	TRDBEWS12903CC68E1	E_minor
Soundgarden	I Awake	TRDBFIY128E07937A6	D_minor
Cher	Alive Again	TRDBHBV12903CCFBC5	F_major
Sy & Unknown feat. Lou Lou	Don't Leave Me Now (Darren Styles Remix)	TRDBIEX128F4285129	C_minor
XL5	Rikottu	TRDBJJE128F933A935	G_minor
Simon Wynberg	Bourees From Suite No 1 For Lute	TRDBLFA128F92CE2B2	B_minor
Queen	Save Me (2009 Digital Remaster)	TRDBLXD128F930A5FF	D_minor
Jane's Addiction	Stop ( Edit )( LP Version )	TRDBRGY12903CC3822	D_major
Spencer Parker	Untitled Head	TRDBSGB128F92E9755	F_major
Britney Spears	If U Seek Amy	TRDBYWP128F92FFCB9	A_minor
Jeff Beck	Nessun Dorma	TRDBZLI12903CF7DF1	E_minor
Muse	Sober	TRDBZRW128F932B709	B_minor
José Augusto	O Lutador (The Boxer) (1997 Digital Remaster)	TRDBZVT128F1472E15	E_minor
Clint Black	Nobody's Home	TRDCALN128F42BC549	A_major
Ordinary Peoples	A World Without Money	TRDCAZU128F42774B5	A_minor
The Sun Harbor's Chorus-Documentary Recordings	America the Beautiful	TRDCBBG128F4280CE6	Bb_minor
Demi Lovato	La La Land	TRDCDRW128F931FAFB	A_major
Gurid Hansdottir	Love is Dead	TRDCEZF128F4296931	C_minor
Raihan	Ababil	TRDCKGI128F1496A7A	C_major
Gel Abril	Spells Of Yoruba [Bingo Players Remix]	TRDCMPA128F93421EF	C#_minor
Steve Winwood	Valerie	TRDCOWK128F92C5047	A_major
George Michael	Praying For Time	TRDCRYX128F4259DD7	Bb_major
Dennis DeYoung	With Every Heartbeat (Reprise)	TRDCSVL128EF35C471	E_minor
Alan Parsons	Wine From The Water	TRDCUNZ128F4285E94	E_major
Billy Joel	Allentown	TRDDBKX128F4266F99	B_minor
Looking Glass	Brandy (You're A Fine Girl)	TRDDBTV12903CDF740	E_major
Black Velvet Flag	No Values	TRDDCFC128F42684BD	G_major
G. C. Cameron	I'll Be Around	TRDDKEQ128F4292BD6	G#_minor
Gloria Gaynor	Can't Take My Eyes Off You	TRDDLCH12903CB3A59	F_major
Eurythmics	Love Is A Stranger	TRDDLJC128F425A7B6	C_major
J. Pachelbel	Retour De L'étoile De Mer	TRDDLZS128F933F5B6	D_major
Panpipes	You Win Again	TRDDPKL128F92CB66E	A_minor
Marina Chello	Sideline [Mike Rizzo Funk Generation Edit]	TRDDPYK12903C9A588	D_minor
Collective Soul	Love	TRDDQFY12903C9A63F	E_major
Neil Diamond	Love On The Rocks	TRDDRCC128F4261D57	C_major
Joshua Rifkin	Maple Leaf Rag (LP Version)	TRDDRYE128F42312D3	Bb_major
The Rascals	A Beautiful Morning	TRDDSRI128F4262747	Bb_major
Rick Astley	Together Forever	TRDDVYI128F92D2C58	A_minor
Ace of Base	Happy Nation	TRDDWNX128F92CA530	E_major
Simian Mobile Disco	Cruel Intentions	TRDDZND12903CD6E6C	D_minor
Tatana feat. Joanna	If I Could	TRDEEGW128F93318F5	C_minor
Zucchero	Papa' Perche	TRDEEWG128F148C6F9	E_major
Stanley Black	Ritual Fire Dance from El amor brujo	TRDEFUE128F427130B	E_minor
Shakira	Pies Descalzos_ Sueños Blancos	TRDENYV128F4295BF9	D_major
Sub Bass Monster	Részlet	TRDEODT128F42756AD	F_major
Jeremy Lister	Just One Day (Original Version)	TRDEPAN128F422291A	C_major
Lucio Battisti	Nessun Dolore	TRDEQQB128F42A24B2	C_major
Céline Dion	If You Asked Me To	TRDEUFW128F426B1C9	A_minor
Be My Guest	Highway To Hell (Dub mix)	TRDEUVT128E0786D73	C_major
Webb Pierce	Bye Bye Love	TRDEYVG12903CA89F0	E_major
Roxette	Church Of Your Heart	TRDEZCG128F1494BA3	G_major
Ricky Rivaro	With You In My Mind (Instrumental)	TRDFASF12903CC400B	C_major
Chris Isaak	Wicked Game (Remastered Album Version)	TRDFAYO128F147D9D0	E_minor
Rachel Stevens	More_ More_ More	TRDFBTA128F931D803	D_minor
Liz Callaway	Journey To The Past  (LP Version)	TRDFCNK12903C9AF28	C_minor
Fine Young Cannibals	As Hard As It Is	TRDFFQQ12903D08016	C#_major
Demi Lovato	This Is Me (Acoustic Full Version)	TRDFGKU128F9307788	F_minor
Norman Connors	Rock With You	TRDFHEE12903CEBC80	Bb_minor
Roddy Hart	When The Wall Comes Down	TRDFKXE128F9326422	C_major
Party Band Kings	Super Freak	TRDFLAU128F9326590	A_minor
Janet Jackson	Come Back To Me	TRDFMWU128F4214450	Ab_major
Chromatics	I Want Your Love	TRDFNIE128F429357F	E_minor
Kenny Rogers	For The Good Times	TRDFNJZ12903D0F03D	G_major
Serafin Zubiri	Soñarás	TRDFUIU128F92D69BF	E_minor
Madonna	Borderline	TRDFUQS12903CCEFD0	E_minor
The Doobie Brothers	Long Train Runnin' (Album Version)	TRDFYTM128F4295F2A	D_minor
Tenfold Loadstar	Lover Kill Me	TRDFZSP128F9329091	F#_minor
Adagio	Spanyol Gitár (Spanish Guitar)	TRDGAPB128F42AD822	D_minor
Rose Royce	Car Wash	TRDGCIZ128F14640CE	C_major
D'espairs Ray	SCREEN	TRDGELE128F932B409	A_minor
John Phillips	2001	TRDGGLL12903CF1DD5	C_major
Mastiksoul	Emergency	TRDGHDF128F93003AB	D_minor
Sade	Jezebel	TRDGNZB128F4259E71	A_minor
Deathstars	Our God The Drugs	TRDGPDC128F426A742	B_minor
Paul Anka	I Love You Baby	TRDGPEG12903CFAA7B	E_major
21st Century Symphony Orchestra	His Yoke Is Easy_ His Burden Is Light	TRDGPTY12903CCCCC5	Bb_major
Coldplay	Postcards From Far Away	TRDGPUU128F92FDBCC	Bb_major
Jamiroquai	Canned Heat	TRDGQIJ128F42BBA84	E_minor
Digital Mode	A.I.R.	TRDGRGE12903CFEA4C	G_major
Hank Marvin / Thalia Marvin	Will You Remember Me	TRDGRRW128F4263CBD	A_major
Frankie Avalon	Beauty School Dropout	TRDGRXQ128F92E63E3	B_major
Dany Brillant	Suzette	TRDGSOS128E0785642	A_minor
Spacehog	In The Meantime (LP Version)	TRDGUKM128F423458E	F#_minor
Shakira	Dia de Enero	TRDGUNO128F92E588C	Bb_major
Justin Bieber	Down To Earth	TRDGUPO128F9332CF6	E_major
Alice DJ	Waiting For Your Love	TRDGURI12903CC90E6	G_major
George Harrison	Cheer Down (2009 Digital Remaster)	TRDGVTS128F92EBE30	D_major
Bob Rivers	Decorations	TRDGVYG12903CC4666	Bb_minor
Arlo Guthrie / Pete Seeger	Please Don't Talk About Me When I'm Gone (Album Version)	TRDHEAI128F42629E6	C_major
Pink Skull	Gonzo's Cointreau	TRDHEMH128F92F1D6B	D_minor
Jean-Jacques Milteau	Summer Moments	TRDHIIE12903CE14B5	A_major
Son Of A Plumber	Waltz For Woody	TRDHMSQ128F4282AD1	C_major
Cómplices	Cuando Duermes	TRDHOVR128F427BAFB	C#_major
G.Q.	Boogie Oogie Oogie	TRDHTGE128F93369DD	A_minor
Vladimir Horowitz	Isolde's Liebestod from Tristan und Isolde	TRDHVRQ128F426DD1D	F#_major
Central Seven	Neverland	TRDIAIG128F4243101	D_minor
Spice Girls	Too Much (Orchestral Version)	TRDIDEU128F429C359	E_minor
D-Pulse	More	TRDIDWO12903CCFD27	A_major
Ruth Jacott	Ik Ga Door	TRDIVOT128F42779B6	F#_major
Chic	Chic Mystique (Album Version) (2006 Remastered)	TRDIYHW128F4234B6F	A_minor
Creedence Clearwater Revival	Travelin' Band	TRDJBWB128F4287B86	G#_minor
Crystal Gayle	Never Ending Song Of Love	TRDJGOJ128F426A08F	A_minor
Eddie Rabbitt	There's Someone She Lies To  [To Lay Here With Me]	TRDJIEM128F9334E7A	D_major
Thin Lizzy	The Boys Are Back In Town	TRDJIEY128F429D6D4	Ab_major
Way Out West	The Gift	TRDJKRX12903CBEFDA	C_major
Binary Finary	1999 (Paul Van Dyk Remix)	TRDJLZD128F92EF922	C_major
Steely Dan	Rikki Don't Lose That Number	TRDJQLI128E07917C7	E_minor
Kaiser Chiefs	I Predict A Riot	TRDJRDU128E07914D3	Ab_major
Ratty	Living On Video (Ratty-Mix)	TRDJRSX128F14A07A6	D_minor
Dr. Hook	A Little Bit More	TRDJUIU128F1459362	G_major
Solar Stone	3rd Earth	TRDJYEE128F9316AE9	E_minor
Pet Shop Boys	Love Comes Quickly (2001 Digital Remaster)	TRDJZON128E0782FEB	B_minor
A Flock Of Seagulls	I Ran	TRDKBDH128F4260DD4	A_minor
BlackHawk	I Sure Can Smell The Rain	TRDKBOW128F4285838	A_major
Kelly Clarkson	My Life Would Suck Without You	TRDKELF128F93210CA	E_major
N20_ Cell X	414	TRDKJNN128F9348FAD	F_minor
Sean Kingston	Fire Burning	TRDKKFO12903D0977F	Db_major
The Mavericks	Blue Moon	TRDKPFJ128F92F6666	E_minor
Floyd Cramer	The Last Waltz	TRDKQKF128F4233A3A	G_major
Billy J. Kramer	Little Children	TRDKQNC128F93202A6	F_major
State Of The Heart	Love Me For A Reason	TRDKTEP128F14697D3	F#_minor
Ivete Sangalo	Ta Tudo Bem	TRDKWUL128F9314177	C_major
Jeff Lorber / Dwight Sills	Can I Get A...	TRDKXXM128E0799AE7	C#_major
Bert Kaempfert And His Orchestra	Afrikaan Beat	TRDKYAR128F92F4DA2	F_major
Ray Charles	What'd I Say	TRDKYQX12903CF0AEC	E_major
Tears For Fears	Shout	TRDKZNV128F427E460	G_minor
Rick Astley	Hold Me In Your Arms	TRDLEBF128F425A499	F_minor
David Cassidy	Ain't No Sunshine	TRDLHQX12903CAC4C8	A_minor
US Coast Guard Band	The Thunderer	TRDLIGD128F4296BD0	C_major
Fergie	Clumsy	TRDLKVL128F1483283	C_major
F5	You Don't Know Me	TRDLMEA128EF35D1D3	A_minor
Devo	Whip It	TRDLQGL128F1458AA5	E_minor
Kiss	Heaven's On Fire	TRDLRWA128F145A964	G_minor
Talking Heads	The Big Country (Remastered & Expanded Version)	TRDLRYH128F14A8C4A	B_minor
Elan	Tretie Oko	TRDLYSY128F92C96C9	E_minor
Natural	It's Your Love	TRDMCGW128F42AE0C9	D_minor
Alice Cooper	Generation Landslide '81 (Live) (Album Version)	TRDMEHK128F423284A	A_minor
Negrita	Hollywood	TRDMEWS128F42B3E5F	F#_major
X-Perience	Magic Fields	TRDMFZZ128F423D4B1	F_minor
Sá & Guarabyra	Sobradinho (Ao Vivo)	TRDMGYG128F9339AE4	E_major
Paula Koivuniemi	Etsien Voi Onnensa Löytää	TRDMIUR128F42A9606	C_major
Cali Lips Style	Between The Streets (Tell It Like It Is)	TRDMMXI128F92FA996	C_major
David Cassidy & The Partridge Family	I Think I Love You	TRDMOXN128F42BC0AF	Eb_major
Daniel Portman	Starwarrior	TRDMRWK128F4243436	A_minor
Rush	The Spirit Of Radio	TRDMWHC128F148D320	F#_minor
Silicone Soul	Sly Guy	TRDMXML128F1496E86	D#_minor
Brother	Second Time Round	TRDMYTQ128F9341444	B_minor
Aerosmith	Dream On	TRDNALN128F42698B4	Ab_major
David Crowder*Band	How He Loves (Low Key-Premiere Performance Plus w/o Background Vocals)	TRDNFFC128F932C090	F#_minor
Vince Gill	When Love Finds You	TRDNMIZ12903CB2D9D	Bb_major
Novaspace	Time After Time (Time Mix)	TRDNNEX128F4290D00	C_major
Good Charlotte	Girls & Boys	TRDNOFN128F930B146	Ab_major
Boney M.	Rivers Of Babylon	TRDNQDH128F42A177C	G_major
Erik Linder	Miraklet	TRDNVBJ128F934C664	D_minor
Wolfgang Petry	Ich will noch mehr	TRDNZHK128F92DF3EB	Eb_major
Frans Bauer	Weine Nicht Corinna	TRDOAWK128F92ED15C	E_minor
Randy Crawford	Almaz (Album Version)	TRDOBGV128F932B570	A_minor
Angel City	Sunrise	TRDOBKN128F9332EE9	C_minor
Kenny G featuring LeAnn Rimes	(Everything I Do) I Do It For You	TRDOBLF128F42938EC	F#_major
